farmacia_nro_soe,titular_nombre,titular_nombre_id,direccion_vial_tipo,direccion_completa,same_as_wikidata_road,direccion_vial_id,direccion_vial_nombre,direccion_vial_nombre_id,direccion_vial_nro,km,municipio_nombre,same_as_wikidata_municipalityofspain,municipio_nombre_id,localizacion_coordenada_x,localizacion_coordenada_y
471,Margarita Rodriguez Cuyas,Margarita_Rodriguez_Cuyas,CALLE,CALLE del General Lacy,https://wikidata.org/entity/Q27243347,CALLE_del_General_Lacy_Madrid,del General Lacy,del_General_Lacy,11,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441389,4472723
472,Ma Cristina Sanz Alisedo,Ma_Cristina_Sanz_Alisedo,CALLE,CALLE de Ayala,https://wikidata.org/entity/Q28052812,CALLE_de_Ayala_Madrid,de Ayala,de_Ayala,19,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441836,4475480
473,Raquel Dieguez Rodriguez,Raquel_Dieguez_Rodriguez,CALLE,CALLE de Gonzalo de Cordoba,https://wikidata.org/entity/Q28733317,CALLE_de_Gonzalo_de_Cordoba_Madrid,de Gonzalo de Cordoba,de_Gonzalo_de_Cordoba,14,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440421,4475978
474,Fuensanta Ana Maria Albertos Constan,Fuensanta_Ana_Maria_Albertos_Constan,CALLE,CALLE de Lope de Haro,https://wikidata.org/entity/Q28039019,CALLE_de_Lope_de_Haro_Madrid,de Lope de Haro,de_Lope_de_Haro,10,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440432,4478757
475,Cristina Iscoa Arana,Cristina_Iscoa_Arana,CALLE,CALLE de Antonia Rodriguez Sacristan,,CALLE_de_Antonia_Rodriguez_Sacristan_Madrid,de Antonia Rodriguez Sacristan,de_Antonia_Rodriguez_Sacristan,31,,Madrid,http://wikidata.org/entity/Q2807,Madrid,436682,4469427
476,Clara Del Castillo Rodriguez,Clara_Del_Castillo_Rodriguez,CALLE,CALLE de Antonio Lopez,https://wikidata.org/entity/Q42238475,CALLE_de_Antonio_Lopez_Madrid,de Antonio Lopez,de_Antonio_Lopez,13,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439423,4472070
477,Antonio Saiz Moran,Antonio_Saiz_Moran,CALLE,CALLE de Zurita,https://wikidata.org/entity/Q29051010,CALLE_de_Zurita_Madrid,de Zurita,de_Zurita,41,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440617,4473374
478,Maria De Prada Fernandez,Maria_De_Prada_Fernandez,CALLE,CALLE Malacuera,,CALLE_Malacuera_Torrelaguna,Malacuera,Malacuera,39,,Torrelaguna,http://wikidata.org/entity/Q1641236,Torrelaguna,454607,4519343
479,Laura Rivero Zugasti,Laura_Rivero_Zugasti,CALLE,CALLE de Pinos Alta,https://wikidata.org/entity/Q54562684,CALLE_de_Pinos_Alta_Madrid,de Pinos Alta,de_Pinos_Alta,16,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440984,4479744
480,Alicia Fernandez Fernandez-Cuervo,Alicia_Fernandez_Fernandez-Cuervo,PLAZA,PLAZA de España,,PLAZA_de_España_Mejorada_del_Campo,de España,de_España,2,,Mejorada del Campo,http://wikidata.org/entity/Q1984852,Mejorada_del_Campo,458589,4471968
